_id,id,name,start_neighborhood,end_neighborhood,year_built,year_rehab,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1,2002832442,Fort Duquesne Blvd,Central Business District,,,,,Central Business District,6,2,42003020100,6,2,2,1-3,40.44644976,-79.99653699
2,761156487,28th Street Bridge,Strip District,Polish Hill,1931,1974,https://tools.wprdc.org/images/pittsburgh/bridges/28th_Street_Bridge.jpg,Strip District,7,6,42003060500,6,6,2,2-25,40.45618151,-79.97371428
3,290122944,Second Avenue Bridge,Squirrel Hill South,Swisshelm Park,1886,1970,,Swisshelm Park,5,14,42003141400,3,14,4,2-12,40.41521024,-79.91569856
4,1811170969,Alexander Street Bridge,West End,,1924,2000,https://tools.wprdc.org/images/pittsburgh/bridges/Alexander_Street_Bridge.jpg,West End,2,20,42003562600,5,20,6,1-17,40.44006253,-80.03335308
5,2047190591,Millvale Trail Pedestrian Bridge,Troy Hill,,,,,Troy Hill,1,24,42003240600,1,24,1,1-1,40.4665857,-79.97773145
6,265798676,Anderson Playground Pedestrian Tunnel,Squirrel Hill South,,1939,1939,,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43506414,-79.94735781
7,886744744,Ansonia Place Bridge,Brookline,,1925,1925,https://tools.wprdc.org/images/pittsburgh/bridges/Ansonia_Place_Bridge.jpg,Brookline,4,32,42003320600,5,32,6,4-25,40.39451111,-79.99756189
8,1942222929,Arcata Street Bridge,Overbrook,,,,,Overbrook,4,32,42003320700,5,32,3,4-25,40.37676593,-79.99451188
9,1811658780,Bajo Street Bridge Off Becks Run Rd,Arlington,,1900,1900,,Arlington,3,16,42003561600,3,16,3,4-13,40.40970917,-79.96363621
10,1887633011,Baldwick Road Bridge 1,Oakwood,,1929,1985,https://tools.wprdc.org/images/pittsburgh/bridges/Baldwick_Road_Bridge_1.jpg,Oakwood,2,28,42003562800,5,28,6,1-19,40.42714991,-80.06197044
11,476622411,Baldwick Road Bridge 2,Oakwood,,1929,1929,https://tools.wprdc.org/images/pittsburgh/bridges/Baldwick_Road_Bridge_2.jpg,Oakwood,2,28,42003562800,5,28,6,1-19,40.42671144,-80.05986087
12,1097386435,Baldwick Road Bridge 3,Oakwood,,,,https://tools.wprdc.org/images/pittsburgh/bridges/Baldwick_Road_Bridge_3.jpg,Oakwood,2,28,42003562800,5,28,6,1-19,40.42656136,-80.05703852
13,638279888,Baum Boulevard Bridge,Bloomfield,Shadyside,1913,1986,https://tools.wprdc.org/images/pittsburgh/bridges/Baum_Boulevard_Bridge.jpg,Bloomfield,7,8,42003080400,2,8,4,3-1,40.45530147,-79.94413672
14,1395820472,Greenfield Bridge,Greenfield,Squirrel Hill South,2017,2017,,Greenfield,5,15,42003151700,3,15,4,2-12,40.42839587,-79.93793612
15,916357398,Bloomfield Pedestrian Bridge,Polish Hill,,1986,1986,,Polish Hill,7,6,42003060500,6,6,2,2-6,40.45876231,-79.9576986
16,1653197563,Bigelow Boulevard Underpass,Polish Hill,North Oakland,1986,1986,https://tools.wprdc.org/images/pittsburgh/bridges/Bigelow_Boulevard_Underpass.jpg,Polish Hill,6,5,42003060500,3,5,4,2-6,40.4588021,-79.95740891
